"review_shop_id","review_id","shop_id","member_id","parent_id","service_score","taste_score","value_score","appearance_score","environment_score","description","created_on","updated_on"
"1","1","1","1","0","4","5","4","2","4","Review Shop Description Update","2019-05-24 06:17:17","2019-05-24 06:17:17"
"2","2","2","4","0","5","1","5","1","5","<h2 class=""title"" style=""font-family: Kanit, sans-serif; outline: none; margin: 0px; padding: 15px 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-weight: inherit; font-stretch: inherit; font-size: 1.5rem; line-height: inherit; vertical-align: baseline; width: 759px; color: #454f63;"">3 ร้านส้มตำห้ามพลาด</h2>
<div class=""desc"" style=""font-family: Pridi, serif; outline: none; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 16px; line-height: 1.5; vertical-align: baseline; letter-spacing: 0.2px; color: #454f63;"">เอาใจคอชาไทยย่านงามวงศ์วานที่ High Coffee Roaster คาเฟ่สไตล์มินิมอลที่เน้นเสิร์ฟกาแฟกับเบเกอรี ภายในตกแต่งแบบเรียบง่าย ใช้สีขาวและสีเงินเป็นหลักดูสะอาดตา และเลือกใช้กระจกบานใหญ่ทำให้ร้านดูกว้างและโปร่งมากขึ้น เอาใจคอชาไทยย่านงามวงศ์วานที่ High Coffee Roaster คาเฟ่สไตล์มินิมอลที่เน้นเสิร์ฟกาแฟกับเบเกอรี ภายในตกแต่งแบบเรียบง่าย ใช้สีขาวและสีเงินเป็นหลักดูสะอาดตา และเลือกใช้กระจกบานใหญ่ทำให้ร้านดูกว้างและโปร่งมากขึ้นเอาใจคอชาไทยย่านงามวงศ์วานที่ High Coffee Roaster คาเฟ่สไตล์มินิมอลที่เน้นเสิร์ฟกาแฟกับเบเกอรี ภายในตกแต่งแบบเรียบง่าย ใช้สีขาวและสีเงินเป็นหลักดูสะอาดตา และเลือกใช้กระจกบานใหญ่ทำให้ร้านดูกว้างและโปร่งมากขึ้น</div>
<div class=""desc"" style=""font-family: Pridi, serif; outline: none; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 16px; line-height: 1.5; vertical-align: baseline; letter-spacing: 0.2px; color: #454f63;""><img src=""../static/upload/1558004513864.png"" alt=""ร้านส้มตำ"" width=""875"" height=""354"" /></div>
<div class=""desc"" style=""font-family: Pridi, serif; outline: none; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 16px; line-height: 1.5; vertical-align: baseline; letter-spacing: 0.2px; color: #454f63;"">
<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 100%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">feel all good</td>
</tr>
</tbody>
</table>
<div style=""display: block; text-align: left;"">&nbsp;</div>
<div style=""display: block; text-align: left;"">
<table class=""banner_800_160"" style=""display: inline-block;"">
<tbody>
<tr>
<td style=""width: 800px; height: 160px; background-color: #cccccc; text-align: center;"" width=""800px"" height=""160px"">800px*160px</td>
</tr>
</tbody>
</table>
</div>
<p>&nbsp;</p>
</div>","2019-05-24 06:17:17","2019-05-24 06:17:17"
"3","2","6","4","0","1","1","1","1","1","<p><strong style=""margin: 0px; padding: 0px; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">Lorem Ipsum</strong><span style=""font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>","2019-05-24 06:17:17","2019-05-24 06:17:17"
"4","3","2","4","0","5","5","3","3","5","<p><strong style=""margin: 0px; padding: 0px; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">Lorem Ipsum</strong><span style=""font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
<p><span style=""font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;""><img src=""../static/upload/1558004763137.jpg"" alt="""" width=""888"" height=""465"" /></span></p>","2019-05-24 06:17:17","2019-05-24 06:17:17"
"5","4","2","4","0","5","4","3","2","1","<p><strong>Lorem Ipsum<span style=""font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></strong></p>
<p><span style=""font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;""><img src=""../static/upload/1558095961588.png"" alt=""shop"" /></span></p>","2019-05-24 06:17:17","2019-05-24 06:17:17"
"6","11","17","1","0","1","1","1","1","1",,"2019-06-05 17:07:13","2019-06-05 17:07:13"
"7","13","11","5","0","1","1","1","1","1",,"2019-06-06 14:32:09","2019-06-06 14:32:09"
"8","14","21","5","0","4","3","4","3","5","<p>ทดสอบรีวิว</p>","2019-06-06 14:35:27","2019-06-06 14:35:27"
"9","15","9","5","0","3","4","3","4","3","<p>ทดสอบร้าน&nbsp;<span style=""background-color: #ffffff; color: #454f63; font-family: Kanit, sans-serif; font-size: 16px;"">Fillets (ฟิลเล)</span></p>
<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 100%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">ทดสอบ</td>
</tr>
</tbody>
</table>","2019-06-06 14:37:38","2019-06-06 14:37:38"
"10","16","11","5","0","4","2","3","2","3","<p><img src=""null"" alt=""ทดสอบ"" /></p>
<div style=""text-align: center; display: block;"">
<table class=""banner_200_200"" style=""display: inline-block;"">
<tbody>
<tr>
<td style=""width: 200px; height: 200px; background-color: #ccc; text-align: center;"" width=""200px"" height=""200px"">200px*200px</td>
</tr>
</tbody>
</table>
</div>
<p>&nbsp;</p>
<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 100%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">ทดสอบ</td>
</tr>
</tbody>
</table>","2019-06-06 14:52:29","2019-06-06 14:52:29"
